Name	NumReads
GQ67_00031	0
GQ67_00032	1
GQ67_00033	1
GQ67_00034	0
GQ67_00035	49
GQ67_00036	26
GQ67_00037	187.328
GQ67_00038	40.672
GQ67_00039	15
GQ67_00040	20
GQ67_00041	83
GQ67_00043	861
GQ67_00044	419
GQ67_00045	140
GQ67_00046	682
GQ67_00047	212
GQ67_00048	140
GQ67_00049	197
GQ67_00050	50
GQ67_00051	50
GQ67_00052	34.781
GQ67_00053	16.219
GQ67_00054	21
GQ67_00055	35
GQ67_00056	38
GQ67_00057	41
GQ67_00058	76
GQ67_00059	130
GQ67_00060	109
GQ67_00061	21
GQ67_00063	99.782
GQ67_00064	12.218
GQ67_00065	10
GQ67_00066	10
GQ67_00067	327
GQ67_00068	61
GQ67_00069	4
GQ67_00070	7
GQ67_00071	48
GQ67_00072	18
GQ67_00073	67
GQ67_00074	36
GQ67_00075	346
GQ67_00076	55
GQ67_00077	591
GQ67_00078	44
GQ67_00079	22
GQ67_00080	16
GQ67_00081	41
GQ67_00082	96
GQ67_00083	202.636
GQ67_00084	27.364
GQ67_00085	16
GQ67_00086	19
GQ67_00087	116
GQ67_00088	58
GQ67_00089	12
GQ67_00090	16
GQ67_00091	8
GQ67_00092	10
GQ67_00093	23
GQ67_00094	34
GQ67_00095	5204
GQ67_00096	21
GQ67_00097	78.368
GQ67_00098	14.632
GQ67_00099	13.48
GQ67_00100	36.52
GQ67_00101	18
GQ67_00102	135
GQ67_00103	31
GQ67_00104	9
GQ67_00105	12.934
GQ67_00106	5.066
GQ67_00107	37.706
GQ67_00108	49.294
GQ67_00109	591
GQ67_00110	38
GQ67_00111	155
GQ67_00112	74
GQ67_00113	10
GQ67_00114	38.445
GQ67_00115	1.555
GQ67_00116	91
GQ67_00117	363
GQ67_00118	19
GQ67_00119	199
GQ67_00120	50
GQ67_00121	49
GQ67_00122	137
GQ67_00123	2
GQ67_00124	55
GQ67_00125	15
GQ67_00126	59.486
GQ67_00127	7.514
GQ67_00128	1
GQ67_00129	57
GQ67_00130	1392
GQ67_00131	47
GQ67_00132	10
GQ67_00133	89.54
GQ67_00134	6.46
GQ67_00135	22
GQ67_00136	306
GQ67_00137	553
GQ67_00138	134
GQ67_00140	63
GQ67_00141	168
GQ67_00142	51
GQ67_00143	12
GQ67_00144	688
GQ67_00145	76
GQ67_00146	24
GQ67_00147	8
GQ67_00148	623
GQ67_00149	31
GQ67_00150	412
GQ67_00151	41
GQ67_00152	12
GQ67_00153	887
GQ67_00154	93
GQ67_00155	88
GQ67_00156	48.63
GQ67_00157	33.37
GQ67_00158	37
GQ67_00159	24
GQ67_00160	22
GQ67_00161	3
GQ67_00162	8
GQ67_00163	53
GQ67_00164	3
GQ67_00165	187
GQ67_00166	24
GQ67_00167	89
GQ67_00168	1232
GQ67_00169	42
GQ67_00170	72
GQ67_00171	69
